location_id,place_id,attestation,latitude,longitude
loc_0001,yrdb1,us_80111,36.67219191,110.2150965
loc_0002,yrdb1,us_80255,34.52659619,109.2838018
loc_0003,yrdb2,ds_1019,38.01875833,116.2843833
loc_0004,yrdb3,us_70156,36.92457637,113.5511836
loc_0005,yrdb3,us_80895,36.92132976,113.5552745
loc_0006,yrdb6,us_80136,35.95141145,109.4494828
loc_0007,yrdb6,us_20082,34.35754292,108.6722664
loc_0008,yrdb6,us_80171,35.07888775,109.8840203
loc_0009,yrdb7,us_80319,36.21581774,101.3099602
loc_0010,yrdb8,us_80356,36.33711558,102.723776
loc_0011,yrdb9,us_10001,34.62711815,113.4145922
loc_0012,yrdb10,ds_1419,34.41552222,115.6506833
loc_0013,yrdb11,ds_296,34.83333333,114.5333333
loc_0014,yrdb12,ds_1614,,
loc_0015,yrdb13,ds_1615,,
loc_0016,yrdb14,ds_1613,,
loc_0017,yrdb16,ds_1424,34.34259167,108.9349972
loc_0018,yrdb16,ds_1618,,
loc_0019,yrdb17,us_80796,35.9159401,111.335465
loc_0020,yrdb18,ds_1026,31.025175,113.1058417
loc_0021,yrdb20,ds_153,34.96666667,109.6
loc_0022,yrdb21,ds_1617,,
loc_0023,yrdb22,us_40130,37.18181779,112.2165661
loc_0024,yrdb23,us_80192,35.07911003,107.9430026
loc_0025,yrdb24,ds_39,33.85,115.7833333
loc_0026,yrdb25,ds_935,32.87370278,117.5548
loc_0027,yrdb25,ds_1330,33.8784,115.78
loc_0028,yrdb26,ds_38,34.4,115.6333333
loc_0029,yrdb27,us_70178,36.05400632,104.0068074
loc_0030,yrdb28,us_40298,40.40772648,108.913374
loc_0031,yrdb29,us_80710,37.7972116,112.8441175
loc_0032,yrdb30,ds_483,34.01666667,119.85
loc_0033,yrdb31,us_80774,36.72706803,111.7626136
loc_0034,yrdb32,us_40108,36.41539922,111.7471347
loc_0035,yrdb32,us_40256,36.41564946,111.755328
loc_0036,yrdb34,us_40008,37.0346121,111.9608597
loc_0037,yrdb34,us_40258,36.95850752,111.9807521
loc_0038,yrdb34,ds_1020,37.0267,111.9105222
loc_0039,yrdb36,us_40150,38.63082791,113.1075277
loc_0040,yrdb37,us_80125,36.17557762,109.1115092
loc_0041,yrdb38,us_80308,37.20608535,101.9343458
loc_0042,yrdb39,ds_1346,39.066275,112.9533861
loc_0043,yrdb40,us_40045,39.74575002,109.3045144
loc_0044,yrdb40,us_40202,39.70173399,109.2907506
loc_0045,yrdb41,ds_44,34.87771667,114.7979806
loc_0046,yrdb41,ds_101,34.81666667,115.0166667
loc_0047,yrdb41,ds_181,34.96666667,114.95
loc_0048,yrdb41,ds_229,,
loc_0049,yrdb41,ds_259,34.89580833,114.9413333
loc_0050,yrdb41,ds_529,34.80916944,115.1677444
loc_0051,yrdb41,ds_544,34.98443889,114.9631611
loc_0052,yrdb41,ds_756,34.883525,115.1683889
loc_0053,yrdb41,ds_786,34.81340556,114.9479444
loc_0054,yrdb41,ds_1267,34.817075,114.9444722
loc_0055,yrdb41,ds_709,34.92241389,115.0753278
loc_0056,yrdb43,ds_1138,35.4095,116.5872
loc_0057,yrdb44,ds_484,34.82777778,113.0626778
loc_0058,yrdb45,us_70296,37.68742483,108.583113
loc_0059,yrdb46,us_10032,36.0594473,112.2139983
loc_0060,yrdb47,ds_1752,34.57206389,112.4803639
loc_0061,yrdb48,ds_1753,34.78421111,112.9792833
loc_0062,yrdb49,us_10010,34.51322781,112.4789515
loc_0063,yrdb49,us_20178,34.50815616,112.4679556
loc_0064,yrdb49,us_20213,34.51267687,112.4831336
loc_0065,yrdb49,us_40087,34.54485889,112.5063681
loc_0066,yrdb49,us_20073,34.54815307,112.4461814
loc_0067,yrdb53,ds_675,,
loc_0068,yrdb54,ds_852,33.7281,118.6542333
loc_0069,yrdb55,ds_1399,36.57131944,104.6734361
loc_0070,yrdb56,ds_1702,29.95971944,120.6079556
loc_0071,yrdb57,ds_1572,35.84465833,116.0964667
loc_0072,yrdb58,us_80180,34.75126027,110.042661
loc_0073,yrdb59,us_80427,37.59814492,105.9148873
loc_0074,yrdb60,ds_206,34.21666667,116.0833333
loc_0075,yrdb61,ds_205,,
loc_0076,yrdb62,ds_207,37,117.25
loc_0077,yrdb63,us_81043,40.90767135,109.2860606
loc_0078,yrdb64,us_20199,36.32094986,112.8021353
loc_0079,yrdb64,us_40112,36.37947335,112.8177256
loc_0080,yrdb64,us_40255,36.37424503,112.8318431
loc_0081,yrdb66,us_80235,33.75108541,107.7705615
loc_0082,yrdb67,us_81016,37.85401327,108.8089265
loc_0083,yrdb68,us_81010,36.62482501,112.3783438
loc_0084,yrdb69,ds_231,34.69205556,116.29315
loc_0085,yrdb69,ds_232,35.6,116.1666667
loc_0086,yrdb70,ds_233,35.94313056,115.5370972
loc_0087,yrdb71,ds_234,34.38333333,115.6666667
loc_0088,yrdb72,us_80806,35.59785072,111.3559136
loc_0089,yrdb73,us_80306,37.32141772,101.6937386
loc_0090,yrdb74,us_70332,38.16583193,109.5918685
loc_0091,yrdb74,us_80052,38.2148309,109.6255829
loc_0092,yrdb75,us_80639,40.21696298,112.8850147
loc_0093,yrdb75,us_70120,40.23137436,112.8966921
loc_0094,yrdb76,ds_1322,36.82211944,108.7636028
loc_0095,yrdb77,us_80334,35.61927099,101.9462767
loc_0096,yrdb78,us_70165,35.57969986,102.0877115
loc_0097,yrdb79,us_80154,35.61688656,108.7459459
loc_0098,yrdb80,ds_1323,39.0026,116.3813
loc_0099,yrdb81,ds_1236,37.5652,115.5734
loc_0100,yrdb82,ds_1240,35.22395,113.4412833
loc_0101,yrdb83,us_70385,39.09938176,111.1698348
loc_0102,yrdb84,ds_1257,34.72852222,112.7834306
loc_0103,yrdb84,us_40181,34.7268833,112.8081454
loc_0104,yrdb86,ds_449,39.44077778,111.5166528
loc_0105,yrdb87,us_70110,39.74656586,112.7593297
loc_0106,yrdb88,us_80152,35.47548943,109.173586
loc_0107,yrdb89,us_70272,35.03158201,107.8887393
loc_0108,yrdb90,ds_160,34.41666667,115.7
loc_0109,yrdb91,ds_1687,33.77051111,119.1856944
loc_0110,yrdb92,us_80782,36.58165574,111.6172013
loc_0111,yrdb93,us_80899,35.6785091,110.7424555
loc_0112,yrdb94,us_40046,36.40581899,103.3440736
loc_0113,yrdb95,ds_1287,36.3157,115.2028
loc_0114,yrdb96,us_80567,36.67694783,107.8219025
loc_0115,yrdb97,us_10084,35.10324303,109.9583369
loc_0116,yrdb98,us_10148,39.02217784,112.8008499
loc_0117,yrdb99,ds_1376,31.6414,113.482
loc_0118,yrdb100,us_10028,35.74150345,112.7296684
loc_0119,yrdb101,us_20109,40.81256666,109.9362108
loc_0120,yrdb102,ds_183,35.13514167,113.9650306
loc_0121,yrdb103,us_80711,38.02669037,110.6470287
loc_0122,yrdb104,ds_1740,35.01593889,113.4701139
loc_0123,yrdb105,ds_1255,35.594175,116.7937389
loc_0124,yrdb105,ds_1538,35.594175,116.7937389
loc_0125,yrdb107,us_80556,35.46139197,107.2697902
loc_0126,yrdb108,us_80572,36.03168079,107.5265338
loc_0127,yrdb109,us_81097,35.43085379,103.6104371
loc_0128,yrdb110,us_81063,40.28398896,112.2283874
loc_0129,yrdb111,ds_10,39.2,111.8833333
loc_0130,yrdb112,us_80936,34.87419737,111.2491265
loc_0131,yrdb113,ds_15,35.15,113.8333333
loc_0132,yrdb113,ds_16,35.15,113.8333333
loc_0133,yrdb113,ds_17,35.146675,113.8284778
loc_0134,yrdb115,us_70048,39.49406143,111.7210315
loc_0135,yrdb116,us_81040,39.22634176,109.8586214
loc_0136,yrdb117,us_80481,36.50003097,106.1985406
loc_0137,yrdb118,us_80665,39.19226075,111.8875773
loc_0138,yrdb119,ds_12,30.06666667,101.1333333
loc_0139,yrdb120,ds_11,34.76596667,114.1790444
loc_0140,yrdb121,ds_13,36.03333333,116.0333333
loc_0141,yrdb122,ds_14,34.80126667,115.5953833
loc_0142,yrdb123,ds_364,,
loc_0143,yrdb123,ds_365,,
loc_0144,yrdb124,us_80394,36.6142223,103.6341891
loc_0145,yrdb125,us_40134,37.10876852,111.7447396
loc_0146,yrdb125,us_40260,37.09652229,111.7415265
loc_0147,yrdb127,ds_1,34.12104167,119.8062778
loc_0148,yrdb128,ds_1076,31.73716667,116.5148111
loc_0149,yrdb129,us_80878,38.22322417,113.53937
loc_0150,yrdb130,ds_366,34.39795556,115.8651889
loc_0151,yrdb131,ds_1711,,
loc_0152,yrdb133,ds_1046,34.82333056,114.8157389
loc_0153,yrdb133,ds_60,34.92798333,114.8353056
loc_0154,yrdb134,ds_1438,36.06153611,103.8319417
loc_0155,yrdb135,ds_313,35.57757778,115.2499167
loc_0156,yrdb136,us_20138,34.40099716,108.8393304
loc_0157,yrdb136,us_20081,34.37503717,108.8626846
loc_0158,yrdb138,us_70428,36.05266732,103.8294458
loc_0159,yrdb139,ds_28,34.82325833,114.8157167
loc_0160,yrdb139,ds_51,34.83333333,114.9166667
loc_0161,yrdb139,ds_320,34.93878333,114.8002833
loc_0162,yrdb139,ds_608,34.92653889,114.7816944
